AID	A
1	Functie
2	Aanleiden tot spelen
3	Aanpassen frequentie van elektrische energie
4	Aansluitleidingen aansluiten
5	Aansturen
6	Aansturen van een pomp door middel van een microprocessor
7	Aanvoer afstromend hemelwater vanaf een kolk
8	Aanvoer van afvalwater
9	Aanvoer van afvalwater vanaf een perceel
10	Aanvoer van hemelwater
11	Aanvoer van hemelwater en vuilwater
12	Aanvoer van vuilwater
13	Aanvoeren van water
14	Aanvullende bemaling
15	Aanwijzen afsluiterstand
16	Afdekken
17	Afdekken ondergrondse voorziening
18	Afdekken put
19	Afremmen van de stroomsnelheid van het afvalwater
20	Afscheiden olie/benzine
21	Afscheiden slib
22	Afscheiden van veld of terrein
23	Afscheiden vaste deeltjes (vuil en slib)
24	Afscheiden vet
25	Afschermen
26	Afsluiten in één stroomrichting
27	Afsluiten in twee stroomrichtingen
28	Afsluiten van leidingen
29	Afstroming herstellen
30	Afvoer naar kolkaansluitleiding
31	Afvoer van gassen uit de riolering
32	Afvoer van hemelwater
33	Afvoeren hemelwater naar de ondergrond
34	Afvoeren van water
35	Afvoeren van water door infiltratie
36	Be- of ontluchten
37	Bedienen afsluiter
38	Bedienen van meerdere pompunits
39	Begrazen
40	Beheren van parkeerplaatsen
41	Beluchten mechanische leiding
42	Beluchten of ventileren
43	Beluchten vrijverval leiding
44	Bemalen van hoogwater
45	Beperken debiet
46	Beperken van erosie
47	Beperken van geluidshinder
48	Bergen van water
49	Beschaduwen
50	Beschermen tegen aanrijdingen
51	Beveiligen
52	Bewonen
53	Bezinken stoffen
54	Bij calamiteit afvalwater afvoeren
55	Bluswater leveren
56	Doorspoelen rioolstelsel
57	Doorvoeren leidingen en/of kabels
58	Dynamisch remmen van verkeerssnelheid
59	Faciliteren van culturele activiteiten
60	Faciliteren van onderwijs
61	Faciliteren van recreatie
62	Faciliteren van religieuze activiteiten
63	Geen functie
64	Geleiden van de afvoer van het afvalwater
65	Geleiden van fauna
66	In stand houden onderdruk
67	Inlaten van oppervlaktewater
68	Inzamelen en kortstondig opslaan afvalwater
69	Inzameling van afvalwater
70	Inzameling van grondwater
71	Inzameling van hemelwater
72	Inzameling van hemelwater en vuilwater
73	Inzameling van vuilwater
74	Keren van grond
75	Keren van water
76	Keren verkeer
77	Laden en lossen
78	Laten bezinken
79	Leiding gescheiden laten kruisen
80	Leidingen aansluiten
81	Lozen afvalwater
82	Lozen binnen het stelsel
83	Lozen buiten het stelsel
84	Lucht in mechanische leiding regelen
85	Meten (functie)
86	Meten capaciteit van de volumestroom
87	Meten grondwaterpeil
88	Meten hoeveelheid hemelwater
89	Meten kwaliteit van het afvalwater
90	Meten van afvalniveau
91	Meten van grondwaterstand
92	Meten van luchtkwaliteit
93	Meten van neerslag
94	Meten van niveauwijziging
95	Meten van verkeersstromen
96	Meten van waterkwaliteit
97	Meten waterdruk
98	Meten waterstand
99	Ondersteunen via de ondergrond
100	Onderwijzen
101	Ontluchten mechanische leiding
102	Ontluchten van riolering
103	Opladen en parkeren
104	Opslaan van materialen
105	Opslag van oppervlaktewater
106	Opsluiten van verharding
107	Opvang en afvoer hemelwater
108	Opvang hemelwater
109	Opvang van afstromend hemelwater
110	Opvangen vuil
111	Opwoelen en verzamelen van bezinksel
112	Overbruggen groot niveauverschil
113	Overstijgen van hoogteverschil
114	Overstortgebeurtenis registreren
115	Overtollig afvalwater laten wegstromen
116	Overtollig hemelwater infiltratievoorziening afvoeren
117	Reducering van omgevingseffecten
118	Regelen van het debiet om de bergingscapaciteit van het bovenstroomse rioolstelsel te benutten
119	Regeling van de afvoer van het afvalwater
120	Registreren van weggebruikers
121	Reinigen afvalwater
122	Remmen van verkeerssnelheid met fysieke middelen
123	Remmen van verkeerssnelheid met optische middelen
124	Rioolleidingen aansluiten
125	Scheiden van percelen
126	Scheiden van terrein
127	Scheiden van verkeersstromen
128	Surveillance
129	Tegengaan van parkeren
130	Tegengaan van verblinding
131	Tijdelijk opslaan van afvalwater
132	Tijdelijke berging van afvalwater
133	Tijdelijke berging van hemelwater
134	Tijdelijke berging van hemelwater en vuilwater
135	Tijdelijke berging van vuilwater
136	Toegang geven tot aansluitleiding
137	Toegang geven tot een leiding
138	Toegang geven tot het rioolstelsel
139	Toegang geven tot zinker
140	Toegang geven voor doorspoelen
141	Toegang verschaffen
142	Transport van afvalwater
143	Transport van afvalwater onder een obstakel door
144	Transport van grondwater
145	Transport van hemelwater
146	Transport van hemelwater en vuilwater
147	Transport van oppervlaktewater
148	Transport van overstortend afvalwater
149	Transport van spoelwater
150	Transport van vuilwater
151	Uitstroom van afvalwater naar oppervlaktewater
152	Van stroom voorzien
153	Verbeteren van koeling
154	Verbeteren van luchtkwaliteit
155	Verbeteren van vochthuishouding
156	Verbinden aansluitleiding met rioolput of rioolleiding
157	Verbinden van drie leidingen
